                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74672,                 2.4544,                 1.3734,                 0.0025,                      1,                0.75794,                0.67177,                0.24415,                 3.1618,                0.68575,                0.00018,                0.00018,                0.00018
                      2,                 0.4047,                 1.5604,                 1.1185,                 0.0025,                      1,                0.17871,                0.14877,                0.83387,                 3.4668,                 1.2167,             0.00037624,             0.00037624,             0.00037624
